,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
258.5,819270,1161777,2117990,1366346,388611,,273269200
259.5,797097,1152892,2088962,1346317,385265,,269263400
260.5,776007,1144052,2059674,1326578,381635,,265315600
261.5,755957,1135236,2030232,1307142,377760,,261428400
262.5,736903,1126425,2000730,1288020,373675,,257604000
263.5,718805,1117601,1971253,1269220,369413,,253844000
264.5,701622,1108747,1941872,1250747,365001,,250149400
265.5,685314,1099845,1912651,1232603,360466,,246520600
266.5,669842,1090877,1883644,1214788,355829,,242957600
267.5,655171,1081830,1854892,1197298,351109,,239459600
268.5,641263,1072686,1826433,1180127,346321,,236025400
269.5,628084,1063433,1798292,1163270,341478,,232654000
270.5,615601,1054056,1770489,1146715,336591,,229343000
271.5,603781,1044544,1743037,1130454,331668,,226090800
272.5,592594,1034884,1715942,1114473,326715,,222894600
273.5,582009,1025067,1689202,1098760,321736,,219752000
274.5,571999,1015083,1662814,1083299,316733,,216659800
275.5,562537,1004923,1636767,1068075,311707,,213615000
276.5,553595,994580,1611047,1053074,306658,,210614800
277.5,545149,984048,1585634,1038277,301584,,207655400
278.5,537176,973321,1560509,1023669,296481,,204733800
279.5,529652,962397,1535645,1009231,291348,,201846200
280.5,522555,951271,1511016,994947,286179,,198989400
281.5,515865,939943,1486593,980800,280969,,196160000
282.5,509561,928411,1462344,966772,275713,,193354400
283.5,503625,916676,1438239,952847,270405,,190569400
284.5,498039,904740,1414244,939008,265040,,187801600
285.5,492784,892605,1390326,925238,259611,,185047600
286.5,487846,880275,1366452,911524,254113,,182304800
287.5,483206,867754,1342588,897850,248538,,179570000
288.5,478852,855049,1318702,884201,242882,,176840200
289.5,474767,842166,1294763,870565,237138,,174113000
290.5,470939,829112,1270740,856930,231301,,171386000
291.5,467354,815897,1246605,843285,225367,,168657000
292.5,463999,802528,1222331,829619,219330,,165923800
293.5,460863,789016,1197893,815924,213187,,163184800
294.5,457934,775372,1173269,802192,206935,,160438400
295.5,455200,761607,1148441,788416,200570,,157683200
296.5,452652,747733,1123391,774592,194091,,154918400
297.5,450279,733762,1098107,760716,187497,,152143200
298.5,448072,719706,1072580,746786,180788,,149357200
299.5,446021,705579,1046802,732801,173964,,146560200
300.5,444117,691395,1020773,718762,167028,,143752400
301.5,442352,677167,994493,704671,159982,,140934200
302.5,440717,662909,967969,690532,152830,,138106400
303.5,439205,648635,941210,676350,145578,,135270000
304.5,437807,634359,914231,662132,138231,,132426400
305.5,436517,620095,887048,647887,130797,,129577400
306.5,435328,605857,859685,633623,123286,,126724600
307.5,434232,591658,832167,619352,115706,,123870400
308.5,433223,577514,804524,605087,108068,,121017400
309.5,432294,563436,776788,590839,100386,,118167800
310.5,431439,549438,748998,576625,92674,,115325000
311.5,430653,535533,721192,562459,84945,,112491800
312.5,429928,521733,693414,548358,77218,,109671600
313.5,429260,508050,665707,534339,69511,,106867800
314.5,428642,494497,638120,520420,61845,,104084000
315.5,428070,481083,610702,506618,54245,,101323600
316.5,427537,467820,583502,492953,46744,,98590600
317.5,427039,454717,556572,479443,39384,,95888600
318.5,426570,441785,529962,466106,32229,,93221200
319.5,426125,429031,503725,452960,25396,,90592000
320.5,425698,416465,477910,440024,19130,,88004800
321.5,425285,404094,452568,427315,14030,,85463000
322.5,424880,391925,427745,414850,11492,,82970000
323.5,424479,379965,403490,402644,12857,,80528800
324.5,424076,368219,379844,390713,17016,,78142600
325.5,423666,356694,356849,379070,22298,,75814000
326.5,423245,345394,334542,367727,27935,,73545400
327.5,422807,334322,312958,356696,33626,,71339200
328.5,422347,323483,292127,345986,39239,,69197200
329.5,421859,312880,272076,335605,44707,,67121000
330.5,421340,302515,252826,325560,49992,,65112000
331.5,420783,292390,234396,315856,55070,,63171200
