,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
275.5,582184,194162,435504,403950,113118,,80790000
276.5,558980,186214,423631,389609,108945,,77921800
277.5,536629,178656,412252,375846,104929,,75169200
278.5,515111,171467,401347,362642,101072,,72528400
279.5,494408,164631,390896,349979,97372,,69995800
280.5,474499,158132,380880,337837,93829,,67567400
281.5,455364,151953,371280,326199,90441,,65239800
282.5,436982,146079,362079,315047,87207,,63009400
283.5,419330,140495,353260,304362,84124,,60872400
284.5,402388,135188,344806,294127,81189,,58825400
285.5,386133,130144,336703,284327,78401,,56865400
286.5,370543,125351,328934,274943,75754,,54988600
287.5,355597,120796,321486,265959,73247,,53191800
288.5,341272,116467,314344,257361,70875,,51472200
289.5,327548,112354,307496,249133,68634,,49826600
290.5,314402,108446,300929,241259,66520,,48251800
291.5,301813,104733,294630,233725,64529,,46745000
292.5,289761,101206,288588,226518,62657,,45303600
293.5,278225,97855,282792,219624,60899,,43924800
294.5,267186,94671,277232,213030,59250,,42606000
295.5,256623,91648,271896,206722,57706,,41344400
296.5,246517,88776,266775,200689,56262,,40137800
297.5,236850,86048,261861,194919,54913,,38983800
298.5,227604,83457,257142,189401,53654,,37880200
299.5,218761,80998,252613,184124,52481,,36824800
300.5,210304,78662,248263,179076,51389,,35815200
301.5,202217,76445,244085,174249,50374,,34849800
302.5,194483,74340,240072,169632,49430,,33926400
303.5,187087,72342,236216,165215,48554,,33043000
304.5,180015,70447,232511,160991,47741,,32198200
305.5,173251,68648,228949,156950,46987,,31390000
306.5,166783,66942,225525,153083,46289,,30616600
307.5,160596,65324,222232,149384,45641,,29876800
308.5,154678,63790,219065,145845,45041,,29169000
309.5,149017,62337,216018,142457,44485,,28491400
310.5,143601,60959,213085,139215,43970,,27843000
311.5,138418,59655,210262,136112,43492,,27222400
312.5,133458,58420,207543,133140,43049,,26628000
313.5,128710,57251,204924,130295,42637,,26059000
314.5,124165,56146,202401,127571,42254,,25514200
315.5,119813,55102,199967,124961,41898,,24992200
316.5,115645,54115,197621,122460,41566,,24492000
317.5,111652,53184,195357,120064,41257,,24012800
318.5,107826,52305,193171,117768,40967,,23553600
319.5,104160,51478,191060,115566,40695,,23113200
320.5,100644,50699,189020,113454,40440,,22690800
321.5,97274,49966,187047,111429,40200,,22285800
322.5,94041,49278,185138,109486,39972,,21897200
323.5,90939,48633,183290,107620,39757,,21524000
324.5,87961,48028,181499,105830,39552,,21166000
325.5,85103,47463,179762,104110,39356,,20822000
326.5,82358,46936,178077,102457,39168,,20491400
327.5,79722,46445,176439,100869,38987,,20173800
328.5,77188,45989,174847,99341,38812,,19868200
329.5,74752,45566,173297,97872,38642,,19574400
330.5,72410,45176,171787,96458,38477,,19291600
331.5,70156,44816,170314,95095,38314,,19019000
332.5,67988,44487,168874,93783,38154,,18756600
333.5,65901,44186,167467,92518,37995,,18503600
334.5,63891,43913,166088,91297,37838,,18259400
335.5,61955,43666,164736,90119,37680,,18023800
336.5,60089,43445,163407,88980,37522,,17796000
337.5,58290,43248,162100,87879,37364,,17575800
338.5,56555,43076,160812,86814,37203,,17362800
339.5,54881,42926,159541,85783,37040,,17156600
340.5,53266,42798,158283,84783,36874,,16956600
341.5,51707,42692,157038,83812,36705,,16762400
342.5,50201,42605,155802,82869,36532,,16573800
343.5,48746,42539,154573,81953,36354,,16390600
344.5,47340,42491,153349,81060,36172,,16212000
345.5,45981,42461,152127,80190,35983,,16038000
346.5,44666,42449,150906,79340,35789,,15868000
347.5,43395,42453,149683,78510,35588,,15702000
348.5,42164,42473,148456,77697,35379,,15539400
349.5,40972,42508,147222,76901,35164,,15380200
350.5,39819,42557,145980,76119,34940,,15223800
351.5,38701,42621,144728,75350,34707,,15070000
352.5,37619,42697,143462,74593,34466,,14918600
353.5,36569,42785,142182,73846,34215,,14769200
354.5,35552,42885,140886,73108,33955,,14621600
355.5,34566,42996,139570,72377,33684,,14475400
356.5,33609,43117,138234,71653,33403,,14330600
357.5,32681,43247,136875,70935,33111,,14187000
358.5,31781,43386,135492,70220,32808,,14044000
359.5,30907,43533,134082,69507,32493,,13901400
360.5,30058,43687,132645,68797,32166,,13759400
361.5,29235,43847,131178,68087,31827,,13617400
362.5,28435,44013,129681,67376,31475,,13475200
363.5,27658,44183,128150,66664,31111,,13332800
364.5,26903,44358,126586,65949,30734,,13189800
365.5,26170,44535,124987,65231,30345,,13046200
366.5,25458,44715,123352,64508,29943,,12901600
367.5,24766,44896,121680,63781,29527,,12756200
368.5,24094,45077,119970,63047,29099,,12609400
369.5,23440,45258,118222,62307,28658,,12461400
370.5,22805,45438,116434,61559,28205,,12311800
371.5,22188,45615,114606,60803,27738,,12160600
372.5,21588,45790,112739,60039,27260,,12007800
373.5,21005,45961,110832,59266,26770,,11853200
374.5,20439,46126,108885,58483,26269,,11696600
375.5,19888,46286,106898,57691,25757,,11538200
376.5,19352,46439,104873,56888,25234,,11377600
377.5,18832,46584,102809,56075,24702,,11215000
378.5,18327,46720,100708,55252,24161,,11050400
379.5,17835,46846,98571,54418,23612,,10883600
