"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CTDSPL",217.950887096968,0.958743812841043,0.208563992549173,4.17873290726153e-07,7.4213307383756e-06
"CTDSPL2",274.951012206746,-0.310538373115044,0.135422034432292,0.0109979361324636,0.0535168701491183
"CTF1",23.9768664113141,0.175940597001214,0.305103125184051,0.261598886177192,0.512481595868658
"CTH",27.1802129562277,-0.0679114543007123,0.260318402858363,0.644113907529794,0.829789459206766
"CTHRC1",85.1002285985263,-0.442224617682867,0.252177695295713,0.0196996613166858,0.0840104624551018
"CTIF",244.544031513018,-0.309748644236714,0.249477272386484,0.082720738650421,0.243171425059132
"CTNNA1",4154.77755378892,-0.259339333868802,0.0743724108395724,0.000314537847453702,0.00282989776782836
"CTNNAL1",2160.37458396372,-0.143060157515345,0.0849120756440217,0.0790038851924617,0.235567988827103
"CTNNB1",2083.50224829687,-0.0207335198571274,0.0737436802548235,0.77342115521657,0.90130374587404
"CTNNBIP1",93.6578522020814,0.424704193922823,0.242547133304242,0.0215985298118205,0.0899609039372717
"CTNNBL1",409.412533865314,-0.0793328778652518,0.148232603995161,0.539677715342053,0.764195458967558
"CTNND1",1003.83410052425,-0.0568753829887491,0.0988054746848226,0.542326566373945,0.765850642850644
"CTNS",175.995123803556,0.190755733457276,0.161958574121586,0.169510870587333,0.393200126156751
"CTPS1",1833.45081765758,-0.508321606568178,0.0772327822744831,1.29975081406749e-11,4.34417827766389e-10
"CTPS2",145.444770776074,-0.0283668833131367,0.191332902505787,0.848997071052749,0.935936167287784
"CTR9",626.860976692471,-0.0859719295823143,0.111577265284908,0.407771493317114,0.658356837031731
"CTRC",2.70019556179463,0.0343762962078456,0.305147755108227,0.610070734928952,NA
"CTRL",10.1318806482591,-0.110305465646248,0.314705256111961,0.30154183980499,0.557020973652571
"CTSA",1075.24978888347,0.232609410314508,0.079591206817666,0.00242573843535775,0.0157478462880918
"CTSB",4705.54006600444,1.0110885780618,0.0562936910219929,4.44596631080978e-73,1.80325990341412e-70
"CTSC",2112.77299232154,-0.0848746978302107,0.0659161062176613,0.186946128985509,0.418356778658743
"CTSD",1005.93365504255,0.126313445252591,0.0764697126964023,0.0879672190242516,0.253821198980378
"CTSF",92.3266379595037,-0.733960487740334,0.265015799130903,0.000662047811655856,0.00531871065820098
"CTSH",52.5625829365011,0.925621769565654,0.374270993536234,0.00102524722428679,0.00771609081989559
"CTSK",20.8284327148863,0.141080133774643,0.291165815576692,0.348424013079129,0.606632406273446
"CTSL",1178.15017746242,0.624594961097238,0.0746912058569782,1.25872519006363e-17,7.35007351256219e-16
"CTSO",39.6962780869746,0.233665578126062,0.284573204174403,0.183726024651785,0.413990458250652
"CTSS",21.6468127749859,0.265890168207603,0.385099475034147,0.107249656700201,0.291416910755009
"CTSV",100.315569850839,-0.234897773303643,0.242141866716793,0.170018604884989,0.393988450202135
